Cell_Name,K3_Strict_Signature,Signature_Rank,Display_Group,Group_Size,Panel_Order,Panel_Letter,Source_Feature_Column,Reader_Facing_Feature_Label,Original_Scale_Feature_Value
Mov. 2 - V,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,1,a,a_std,Standard deviation,0.019497271950064
Mov. 2 - Y,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,1,a,a_std,Standard deviation,0.0228901184993066
Mov. 2 - Z,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,1,a,a_std,Standard deviation,0.0166635041467017
Mov. 1 - N,K3-DW1-DK1-PK2-NH1-NK1,2,B,14,1,a,a_std,Standard deviation,0.0881564157932508
Mov. 2 - Cell 2,K3-DW1-DK1-PK2-NH1-NK1,2,B,14,1,a,a_std,Standard deviation,0.0814946640547643
Mov. 2 - Cell 22,K3-DW1-DK1-PK2-NH1-NK1,2,B,14,1,a,a_std,Standard deviation,0.0951959706210977
Mov. 2 - Cell 34,K3-DW1-DK1-PK2-NH1-NK1,2,B,14,1,a,a_std,Standard deviation,0.0956485568417936
Mov. 2 - Cell 36,K3-DW1-DK1-PK2-NH1-NK1,2,B,14,1,a,a_std,Standard deviation,0.0906512630983677
Mov. 3 - Cell 22,K3-DW1-DK1-PK2-NH1-NK1,2,B,14,1,a,a_std,Standard deviation,0.0927675722266104
Mov. 3 - Cell 24,K3-DW1-DK1-PK2-NH1-NK1,2,B,14,1,a,a_std,Standard deviation,0.0930265765415037
Mov. 3 - Cell 28,K3-DW1-DK1-PK2-NH1-NK1,2,B,14,1,a,a_std,Standard deviation,0.0880159073663527
Mov. 3 - Cell 29,K3-DW1-DK1-PK2-NH1-NK1,2,B,14,1,a,a_std,Standard deviation,0.1163169287724592
Mov. 3 - Cell 39,K3-DW1-DK1-PK2-NH1-NK1,2,B,14,1,a,a_std,Standard deviation,0.0892142451510141
Mov. 3 - Cell 41,K3-DW1-DK1-PK2-NH1-NK1,2,B,14,1,a,a_std,Standard deviation,0.0845939226816765
Mov. 3 - Cell 42,K3-DW1-DK1-PK2-NH1-NK1,2,B,14,1,a,a_std,Standard deviation,0.0825737502321711
Mov. 3 - Cell 56,K3-DW1-DK1-PK2-NH1-NK1,2,B,14,1,a,a_std,Standard deviation,0.0967807869436541
Mov. 3 - Cell 8,K3-DW1-DK1-PK2-NH1-NK1,2,B,14,1,a,a_std,Standard deviation,0.0820970805581751
Mov. 1 - O,K3-DW1-DK1-PK3-NH1-NK1,3,C,13,1,a,a_std,Standard deviation,0.1103036104176172
Mov. 2 - Cell 1,K3-DW1-DK1-PK3-NH1-NK1,3,C,13,1,a,a_std,Standard deviation,0.0887754586357344
Mov. 2 - Cell 23,K3-DW1-DK1-PK3-NH1-NK1,3,C,13,1,a,a_std,Standard deviation,0.0989313755732538
Mov. 3 - Cell 25,K3-DW1-DK1-PK3-NH1-NK1,3,C,13,1,a,a_std,Standard deviation,0.1053178144298138
Mov. 3 - Cell 26,K3-DW1-DK1-PK3-NH1-NK1,3,C,13,1,a,a_std,Standard deviation,0.0991938811927137
Mov. 3 - Cell 27,K3-DW1-DK1-PK3-NH1-NK1,3,C,13,1,a,a_std,Standard deviation,0.0816673527264208
Mov. 3 - Cell 31,K3-DW1-DK1-PK3-NH1-NK1,3,C,13,1,a,a_std,Standard deviation,0.0894526269010971
Mov. 3 - Cell 40,K3-DW1-DK1-PK3-NH1-NK1,3,C,13,1,a,a_std,Standard deviation,0.0872281398265492
Mov. 3 - Cell 44,K3-DW1-DK1-PK3-NH1-NK1,3,C,13,1,a,a_std,Standard deviation,0.1178796077146936
Mov. 3 - Cell 46,K3-DW1-DK1-PK3-NH1-NK1,3,C,13,1,a,a_std,Standard deviation,0.1066515526845015
Mov. 3 - Cell 53,K3-DW1-DK1-PK3-NH1-NK1,3,C,13,1,a,a_std,Standard deviation,0.0899153535548663
Mov. 3 - Cell 55,K3-DW1-DK1-PK3-NH1-NK1,3,C,13,1,a,a_std,Standard deviation,0.0803797862674014
Mov. 3 - Cell 57,K3-DW1-DK1-PK3-NH1-NK1,3,C,13,1,a,a_std,Standard deviation,0.0825199759950048
Mov. 1 - Cell 11.1,K3-DW2b-DK0-PK1-NH3-NK2,4,D,11,1,a,a_std,Standard deviation,0.0453596287355352
Mov. 1 - Cell 12.1,K3-DW2b-DK0-PK1-NH3-NK2,4,D,11,1,a,a_std,Standard deviation,0.0484905728704019
Mov. 1 - Cell 13.1,K3-DW2b-DK0-PK1-NH3-NK2,4,D,11,1,a,a_std,Standard deviation,0.0375139749599224
Mov. 1 - Cell 14.1,K3-DW2b-DK0-PK1-NH3-NK2,4,D,11,1,a,a_std,Standard deviation,0.0362339707231294
Mov. 1 - Cell 15.1,K3-DW2b-DK0-PK1-NH3-NK2,4,D,11,1,a,a_std,Standard deviation,0.0381820625728303
Mov. 2 - Cell 13,K3-DW2b-DK0-PK1-NH3-NK2,4,D,11,1,a,a_std,Standard deviation,0.0502007194583979
Mov. 2 - Cell 5,K3-DW2b-DK0-PK1-NH3-NK2,4,D,11,1,a,a_std,Standard deviation,0.0374370411249636
Mov. 3 - Cell 2,K3-DW2b-DK0-PK1-NH3-NK2,4,D,11,1,a,a_std,Standard deviation,0.0423100233514024
Mov. 3 - Cell 3,K3-DW2b-DK0-PK1-NH3-NK2,4,D,11,1,a,a_std,Standard deviation,0.0350362597185532
Mov. 3 - Cell 34,K3-DW2b-DK0-PK1-NH3-NK2,4,D,11,1,a,a_std,Standard deviation,0.0478107718440473
Mov. 3 - Cell 37,K3-DW2b-DK0-PK1-NH3-NK2,4,D,11,1,a,a_std,Standard deviation,0.0509874226963878
Mov. 1 - Cell 10,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,2,b,g_sharpness_index,Sharpness index,0.1066884336951887
Mov. 1 - Cell 12,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,2,b,g_sharpness_index,Sharpness index,0.1693500528107532
Mov. 1 - Cell 15,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,2,b,g_sharpness_index,Sharpness index,0.1270157532441655
Mov. 1 - Cell 17,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,2,b,g_sharpness_index,Sharpness index,0.0948365437557978
Mov. 1 - Cell 20,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,2,b,g_sharpness_index,Sharpness index,0.0914493713056574
Mov. 1 - Cell 21,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,2,b,g_sharpness_index,Sharpness index,0.1033076885172497
Mov. 1 - Cell 23,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,2,b,g_sharpness_index,Sharpness index,0.1236264383699581
Mov. 1 - Cell 25,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,2,b,g_sharpness_index,Sharpness index,0.1066884336951887
Mov. 1 - Cell 26,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,2,b,g_sharpness_index,Sharpness index,0.0948365437557978
Mov. 1 - Cell 7,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,2,b,g_sharpness_index,Sharpness index,0.0948365437557978
Mov. 2 - R,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,2,b,g_sharpness_index,Sharpness index,0.1337858132963122
Mov. 2 - S,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,2,b,g_sharpness_index,Sharpness index,0.1049959186821521
Mov. 2 - T,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,2,b,g_sharpness_index,Sharpness index,0.0999183736430421
Mov. 2 - V,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,2,b,g_sharpness_index,Sharpness index,0.0795931965181323
Mov. 2 - Y,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,2,b,g_sharpness_index,Sharpness index,0.0931440287427612
Mov. 2 - Z,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,2,b,g_sharpness_index,Sharpness index,0.0626616191155645
Mov. 1 - N,K3-DW1-DK1-PK2-NH1-NK1,2,B,14,2,b,g_sharpness_index,Sharpness index,0.4030542397501077
Mov. 2 - Cell 2,K3-DW1-DK1-PK2-NH1-NK1,2,B,14,2,b,g_sharpness_index,Sharpness index,0.3583779685587521
Mov. 2 - Cell 22,K3-DW1-DK1-PK2-NH1-NK1,2,B,14,2,b,g_sharpness_index,Sharpness index,0.3928927223996865
Mov. 2 - Cell 34,K3-DW1-DK1-PK2-NH1-NK1,2,B,14,2,b,g_sharpness_index,Sharpness index,0.6062760170622652
Mov. 2 - Cell 36,K3-DW1-DK1-PK2-NH1-NK1,2,B,14,2,b,g_sharpness_index,Sharpness index,0.3945852374127229
Mov. 3 - Cell 22,K3-DW1-DK1-PK2-NH1-NK1,2,B,14,2,b,g_sharpness_index,Sharpness index,0.489612456910496
Mov. 3 - Cell 24,K3-DW1-DK1-PK2-NH1-NK1,2,B,14,2,b,g_sharpness_index,Sharpness index,0.4434496455359383
Mov. 3 - Cell 28,K3-DW1-DK1-PK2-NH1-NK1,2,B,14,2,b,g_sharpness_index,Sharpness index,0.4154267387378124
Mov. 3 - Cell 29,K3-DW1-DK1-PK2-NH1-NK1,2,B,14,2,b,g_sharpness_index,Sharpness index,0.5769847952163955
Mov. 3 - Cell 39,K3-DW1-DK1-PK2-NH1-NK1,2,B,14,2,b,g_sharpness_index,Sharpness index,0.4088344998832379
Mov. 3 - Cell 41,K3-DW1-DK1-PK2-NH1-NK1,2,B,14,2,b,g_sharpness_index,Sharpness index,0.3264090187483531
Mov. 3 - Cell 42,K3-DW1-DK1-PK2-NH1-NK1,2,B,14,2,b,g_sharpness_index,Sharpness index,0.3082733990200552
Mov. 3 - Cell 56,K3-DW1-DK1-PK2-NH1-NK1,2,B,14,2,b,g_sharpness_index,Sharpness index,0.3758625934900301
Mov. 3 - Cell 8,K3-DW1-DK1-PK2-NH1-NK1,2,B,14,2,b,g_sharpness_index,Sharpness index,0.3610241644010531
Mov. 1 - O,K3-DW1-DK1-PK3-NH1-NK1,3,C,13,2,b,g_sharpness_index,Sharpness index,0.4995832985189422
Mov. 2 - Cell 1,K3-DW1-DK1-PK3-NH1-NK1,3,C,13,2,b,g_sharpness_index,Sharpness index,0.3955681351073019
Mov. 2 - Cell 23,K3-DW1-DK1-PK3-NH1-NK1,3,C,13,2,b,g_sharpness_index,Sharpness index,0.5385347104835236
Mov. 3 - Cell 25,K3-DW1-DK1-PK3-NH1-NK1,3,C,13,2,b,g_sharpness_index,Sharpness index,0.4385049307889904
Mov. 3 - Cell 26,K3-DW1-DK1-PK3-NH1-NK1,3,C,13,2,b,g_sharpness_index,Sharpness index,0.4500461692386466
Mov. 3 - Cell 27,K3-DW1-DK1-PK3-NH1-NK1,3,C,13,2,b,g_sharpness_index,Sharpness index,0.3313515910712332
Mov. 3 - Cell 31,K3-DW1-DK1-PK3-NH1-NK1,3,C,13,2,b,g_sharpness_index,Sharpness index,0.4104820239908647
Mov. 3 - Cell 40,K3-DW1-DK1-PK3-NH1-NK1,3,C,13,2,b,g_sharpness_index,Sharpness index,0.3115705896593759
Mov. 3 - Cell 44,K3-DW1-DK1-PK3-NH1-NK1,3,C,13,2,b,g_sharpness_index,Sharpness index,0.623141179318752
Mov. 3 - Cell 46,K3-DW1-DK1-PK3-NH1-NK1,3,C,13,2,b,g_sharpness_index,Sharpness index,0.4220211200164537
Mov. 3 - Cell 53,K3-DW1-DK1-PK3-NH1-NK1,3,C,13,2,b,g_sharpness_index,Sharpness index,0.4022422610286634
Mov. 3 - Cell 55,K3-DW1-DK1-PK3-NH1-NK1,3,C,13,2,b,g_sharpness_index,Sharpness index,0.4879627903788021
Mov. 3 - Cell 57,K3-DW1-DK1-PK3-NH1-NK1,3,C,13,2,b,g_sharpness_index,Sharpness index,0.4137770722061185
Mov. 1 - Cell 11.1,K3-DW2b-DK0-PK1-NH3-NK2,4,D,11,2,b,g_sharpness_index,Sharpness index,0.2658791115795879
Mov. 1 - Cell 12.1,K3-DW2b-DK0-PK1-NH3-NK2,4,D,11,2,b,g_sharpness_index,Sharpness index,0.1952837335793479
Mov. 1 - Cell 13.1,K3-DW2b-DK0-PK1-NH3-NK2,4,D,11,2,b,g_sharpness_index,Sharpness index,0.1570733803170692
Mov. 1 - Cell 14.1,K3-DW2b-DK0-PK1-NH3-NK2,4,D,11,2,b,g_sharpness_index,Sharpness index,0.1683017496801492
Mov. 1 - Cell 15.1,K3-DW2b-DK0-PK1-NH3-NK2,4,D,11,2,b,g_sharpness_index,Sharpness index,0.1795301190432288
Mov. 2 - Cell 13,K3-DW2b-DK0-PK1-NH3-NK2,4,D,11,2,b,g_sharpness_index,Sharpness index,0.2049121499011271
Mov. 2 - Cell 5,K3-DW2b-DK0-PK1-NH3-NK2,4,D,11,2,b,g_sharpness_index,Sharpness index,0.1453797419625127
Mov. 3 - Cell 2,K3-DW2b-DK0-PK1-NH3-NK2,4,D,11,2,b,g_sharpness_index,Sharpness index,0.1829844395740003
Mov. 3 - Cell 3,K3-DW2b-DK0-PK1-NH3-NK2,4,D,11,2,b,g_sharpness_index,Sharpness index,0.117040626787585
Mov. 3 - Cell 34,K3-DW2b-DK0-PK1-NH3-NK2,4,D,11,2,b,g_sharpness_index,Sharpness index,0.1566111993075686
Mov. 3 - Cell 37,K3-DW2b-DK0-PK1-NH3-NK2,4,D,11,2,b,g_sharpness_index,Sharpness index,0.1879312967450151
Mov. 1 - Cell 10,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,3,c,d_initial_peak_to_trough_magnitude,Initial fall amplitude,0.0474175577365432
Mov. 1 - Cell 12,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,3,c,d_initial_peak_to_trough_magnitude,Initial fall amplitude,0.0502419867983828
Mov. 1 - Cell 15,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,3,c,d_initial_peak_to_trough_magnitude,Initial fall amplitude,0.0677398782960301
Mov. 1 - Cell 17,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,3,c,d_initial_peak_to_trough_magnitude,Initial fall amplitude,0.058142532616621
Mov. 1 - Cell 20,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,3,c,d_initial_peak_to_trough_magnitude,Initial fall amplitude,0.0479838718316225
Mov. 1 - Cell 21,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,3,c,d_initial_peak_to_trough_magnitude,Initial fall amplitude,0.0587095608530561
Mov. 1 - Cell 23,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,3,c,d_initial_peak_to_trough_magnitude,Initial fall amplitude,0.0869331413721369
Mov. 1 - Cell 25,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,3,c,d_initial_peak_to_trough_magnitude,Initial fall amplitude,0.0683047641083981
Mov. 1 - Cell 26,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,3,c,d_initial_peak_to_trough_magnitude,Initial fall amplitude,0.054756788449192
Mov. 1 - Cell 7,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,3,c,d_initial_peak_to_trough_magnitude,Initial fall amplitude,0.058142532616621
Mov. 2 - R,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,3,c,d_initial_peak_to_trough_magnitude,Initial fall amplitude,0.068304764108398
Mov. 2 - S,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,3,c,d_initial_peak_to_trough_magnitude,Initial fall amplitude,0.0615304192081172
Mov. 2 - T,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,3,c,d_initial_peak_to_trough_magnitude,Initial fall amplitude,0.0790311672711872
Mov. 2 - V,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,3,c,d_initial_peak_to_trough_magnitude,Initial fall amplitude,0.0513674735749844
Mov. 2 - Y,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,3,c,d_initial_peak_to_trough_magnitude,Initial fall amplitude,0.0671764207663736
Mov. 2 - Z,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,3,c,d_initial_peak_to_trough_magnitude,Initial fall amplitude,0.0406453552603295
Mov. 1 - N,K3-DW1-DK1-PK2-NH1-NK1,2,B,14,3,c,d_initial_peak_to_trough_magnitude,Initial fall amplitude,0.274911571446629
Mov. 2 - Cell 2,K3-DW1-DK1-PK2-NH1-NK1,2,B,14,3,c,d_initial_peak_to_trough_magnitude,Initial fall amplitude,0.222014024547403
Mov. 2 - Cell 22,K3-DW1-DK1-PK2-NH1-NK1,2,B,14,3,c,d_initial_peak_to_trough_magnitude,Initial fall amplitude,0.2212852687635285
Mov. 2 - Cell 34,K3-DW1-DK1-PK2-NH1-NK1,2,B,14,3,c,d_initial_peak_to_trough_magnitude,Initial fall amplitude,0.283379859642658
Mov. 2 - Cell 36,K3-DW1-DK1-PK2-NH1-NK1,2,B,14,3,c,d_initial_peak_to_trough_magnitude,Initial fall amplitude,0.2737825139632489
Mov. 3 - Cell 22,K3-DW1-DK1-PK2-NH1-NK1,2,B,14,3,c,d_initial_peak_to_trough_magnitude,Initial fall amplitude,0.3132195420497143
Mov. 3 - Cell 24,K3-DW1-DK1-PK2-NH1-NK1,2,B,14,3,c,d_initial_peak_to_trough_magnitude,Initial fall amplitude,0.3000300653510755
Mov. 3 - Cell 28,K3-DW1-DK1-PK2-NH1-NK1,2,B,14,3,c,d_initial_peak_to_trough_magnitude,Initial fall amplitude,0.2747537462070166
Mov. 3 - Cell 29,K3-DW1-DK1-PK2-NH1-NK1,2,B,14,3,c,d_initial_peak_to_trough_magnitude,Initial fall amplitude,0.2610158089471914
Mov. 3 - Cell 39,K3-DW1-DK1-PK2-NH1-NK1,2,B,14,3,c,d_initial_peak_to_trough_magnitude,Initial fall amplitude,0.264313713727868
Mov. 3 - Cell 41,K3-DW1-DK1-PK2-NH1-NK1,2,B,14,3,c,d_initial_peak_to_trough_magnitude,Initial fall amplitude,0.2571673011812612
Mov. 3 - Cell 42,K3-DW1-DK1-PK2-NH1-NK1,2,B,14,3,c,d_initial_peak_to_trough_magnitude,Initial fall amplitude,0.2296957115097447
Mov. 3 - Cell 56,K3-DW1-DK1-PK2-NH1-NK1,2,B,14,3,c,d_initial_peak_to_trough_magnitude,Initial fall amplitude,0.3082726848786994
Mov. 3 - Cell 8,K3-DW1-DK1-PK2-NH1-NK1,2,B,14,3,c,d_initial_peak_to_trough_magnitude,Initial fall amplitude,0.1972722656777236
Mov. 1 - O,K3-DW1-DK1-PK3-NH1-NK1,3,C,13,3,c,d_initial_peak_to_trough_magnitude,Initial fall amplitude,0.2675737690166915
Mov. 2 - Cell 1,K3-DW1-DK1-PK3-NH1-NK1,3,C,13,3,c,d_initial_peak_to_trough_magnitude,Initial fall amplitude,0.2642755774434823
Mov. 2 - Cell 23,K3-DW1-DK1-PK3-NH1-NK1,3,C,13,3,c,d_initial_peak_to_trough_magnitude,Initial fall amplitude,0.0688696499207661
Mov. 3 - Cell 25,K3-DW1-DK1-PK3-NH1-NK1,3,C,13,3,c,d_initial_peak_to_trough_magnitude,Initial fall amplitude,0.2263956643050011
Mov. 3 - Cell 26,K3-DW1-DK1-PK3-NH1-NK1,3,C,13,3,c,d_initial_peak_to_trough_magnitude,Initial fall amplitude,0.2329914738663542
Mov. 3 - Cell 27,K3-DW1-DK1-PK3-NH1-NK1,3,C,13,3,c,d_initial_peak_to_trough_magnitude,Initial fall amplitude,0.2022184087073827
Mov. 3 - Cell 31,K3-DW1-DK1-PK3-NH1-NK1,3,C,13,3,c,d_initial_peak_to_trough_magnitude,Initial fall amplitude,0.2038659328150095
Mov. 3 - Cell 40,K3-DW1-DK1-PK3-NH1-NK1,3,C,13,3,c,d_initial_peak_to_trough_magnitude,Initial fall amplitude,0.1423248014865566
Mov. 3 - Cell 44,K3-DW1-DK1-PK3-NH1-NK1,3,C,13,3,c,d_initial_peak_to_trough_magnitude,Initial fall amplitude,0.2500251734827888
Mov. 3 - Cell 46,K3-DW1-DK1-PK3-NH1-NK1,3,C,13,3,c,d_initial_peak_to_trough_magnitude,Initial fall amplitude,0.2302448862122871
Mov. 3 - Cell 53,K3-DW1-DK1-PK3-NH1-NK1,3,C,13,3,c,d_initial_peak_to_trough_magnitude,Initial fall amplitude,0.1632048664448544
Mov. 3 - Cell 55,K3-DW1-DK1-PK3-NH1-NK1,3,C,13,3,c,d_initial_peak_to_trough_magnitude,Initial fall amplitude,0.1148460704014831
Mov. 3 - Cell 57,K3-DW1-DK1-PK3-NH1-NK1,3,C,13,3,c,d_initial_peak_to_trough_magnitude,Initial fall amplitude,0.1774919784072219
Mov. 1 - Cell 11.1,K3-DW2b-DK0-PK1-NH3-NK2,4,D,11,3,c,d_initial_peak_to_trough_magnitude,Initial fall amplitude,0.1000431513764619
Mov. 1 - Cell 12.1,K3-DW2b-DK0-PK1-NH3-NK2,4,D,11,3,c,d_initial_peak_to_trough_magnitude,Initial fall amplitude,0.1075521731514495
Mov. 1 - Cell 13.1,K3-DW2b-DK0-PK1-NH3-NK2,4,D,11,3,c,d_initial_peak_to_trough_magnitude,Initial fall amplitude,0.1150611949264364
Mov. 1 - Cell 14.1,K3-DW2b-DK0-PK1-NH3-NK2,4,D,11,3,c,d_initial_peak_to_trough_magnitude,Initial fall amplitude,0.1225702167014218
Mov. 1 - Cell 15.1,K3-DW2b-DK0-PK1-NH3-NK2,4,D,11,3,c,d_initial_peak_to_trough_magnitude,Initial fall amplitude,0.1300792384764099
Mov. 2 - Cell 13,K3-DW2b-DK0-PK1-NH3-NK2,4,D,11,3,c,d_initial_peak_to_trough_magnitude,Initial fall amplitude,0.0965304870515459
Mov. 2 - Cell 5,K3-DW2b-DK0-PK1-NH3-NK2,4,D,11,3,c,d_initial_peak_to_trough_magnitude,Initial fall amplitude,0.0518408382191905
Mov. 3 - Cell 2,K3-DW2b-DK0-PK1-NH3-NK2,4,D,11,3,c,d_initial_peak_to_trough_magnitude,Initial fall amplitude,0.0961519921330188
Mov. 3 - Cell 3,K3-DW2b-DK0-PK1-NH3-NK2,4,D,11,3,c,d_initial_peak_to_trough_magnitude,Initial fall amplitude,0.0890320028165734
Mov. 3 - Cell 34,K3-DW2b-DK0-PK1-NH3-NK2,4,D,11,3,c,d_initial_peak_to_trough_magnitude,Initial fall amplitude,0.0994606090340309
Mov. 3 - Cell 37,K3-DW2b-DK0-PK1-NH3-NK2,4,D,11,3,c,d_initial_peak_to_trough_magnitude,Initial fall amplitude,0.0917685924916606
Mov. 1 - Cell 10,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,4,d,d_slope_magnitude,Slope of oscillation magnitude,0.0004419984253576
Mov. 1 - Cell 12,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,4,d,d_slope_magnitude,Slope of oscillation magnitude,-0.0014136630152442
Mov. 1 - Cell 15,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,4,d,d_slope_magnitude,Slope of oscillation magnitude,-0.0007738151356173
Mov. 1 - Cell 17,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,4,d,d_slope_magnitude,Slope of oscillation magnitude,-0.0005922965328926
Mov. 1 - Cell 20,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,4,d,d_slope_magnitude,Slope of oscillation magnitude,-0.0006568946470682
Mov. 1 - Cell 21,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,4,d,d_slope_magnitude,Slope of oscillation magnitude,-0.0006322370193734
Mov. 1 - Cell 23,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,4,d,d_slope_magnitude,Slope of oscillation magnitude,-0.0022774435455817
Mov. 1 - Cell 25,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,4,d,d_slope_magnitude,Slope of oscillation magnitude,-0.0008617594371521
Mov. 1 - Cell 26,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,4,d,d_slope_magnitude,Slope of oscillation magnitude,-0.0010071495752935
Mov. 1 - Cell 7,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,4,d,d_slope_magnitude,Slope of oscillation magnitude,-0.0005922965328926
Mov. 2 - R,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,4,d,d_slope_magnitude,Slope of oscillation magnitude,-0.0012429388356459
Mov. 2 - S,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,4,d,d_slope_magnitude,Slope of oscillation magnitude,-0.0008010749980789
Mov. 2 - T,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,4,d,d_slope_magnitude,Slope of oscillation magnitude,-0.0018593732014439
Mov. 2 - V,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,4,d,d_slope_magnitude,Slope of oscillation magnitude,-0.0009063461482023
Mov. 2 - Y,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,4,d,d_slope_magnitude,Slope of oscillation magnitude,-0.0012867557905778
Mov. 2 - Z,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,4,d,d_slope_magnitude,Slope of oscillation magnitude,-0.0003889134595933
Mov. 1 - N,K3-DW1-DK1-PK2-NH1-NK1,2,B,14,4,d,d_slope_magnitude,Slope of oscillation magnitude,-0.007767385572915
Mov. 2 - Cell 2,K3-DW1-DK1-PK2-NH1-NK1,2,B,14,4,d,d_slope_magnitude,Slope of oscillation magnitude,-0.0055087833182869
Mov. 2 - Cell 22,K3-DW1-DK1-PK2-NH1-NK1,2,B,14,4,d,d_slope_magnitude,Slope of oscillation magnitude,-0.0043299500965311
Mov. 2 - Cell 34,K3-DW1-DK1-PK2-NH1-NK1,2,B,14,4,d,d_slope_magnitude,Slope of oscillation magnitude,-0.0045729865460763
Mov. 2 - Cell 36,K3-DW1-DK1-PK2-NH1-NK1,2,B,14,4,d,d_slope_magnitude,Slope of oscillation magnitude,-0.0074010481258658
Mov. 3 - Cell 22,K3-DW1-DK1-PK2-NH1-NK1,2,B,14,4,d,d_slope_magnitude,Slope of oscillation magnitude,-0.0090639013451476
